model,r.squared,adj.r.squared,sigma,AIC,BIC,df.residual,nobs
Model 1: Structural baseline,0.44033118074593314,0.43383850302836857,0.06320147156451175,-1165.3770972870204,-1136.8175649213513,431,437
Model 2: + no HS + Black,0.5434565019780472,0.5360070742713953,0.05721536917279685,-1250.3770561880153,-1213.657657432155,429,437
Model 3: + state FE,0.8126780431063562,0.807829710104403,0.03682138733540613,-1631.6807568947477,-1578.641625358505,425,437
Model 4: full model,0.8604090880853958,0.8554355401549467,0.031936534918704206,-1752.2080259112836,-1682.8491615946587,421,437
